timestamp,zone_id,soil_moisture_pct,tank_level_liters,pump_flow_lpm,pump_power_watts,sensor_status
3/1/2026 12:00,Zone A,33.2,4829,18.8,437,OK
3/1/2026 12:00,Zone B,34.7,4728,22.1,461,OK
3/1/2026 12:00,Zone C,28.2,4515,25.7,490,OK
3/2/2026 12:00,Zone A,36.1,4757,16.6,411,OK
3/2/2026 12:00,Zone B,32,4645,20.4,445,OK
3/2/2026 12:00,Zone C,31,4519,24.6,492,OK
3/3/2026 12:00,Zone A,33.7,4791,17.1,438,OK
3/3/2026 12:00,Zone B,34.9,4603,22.1,454,OK
3/3/2026 12:00,Zone C,28.9,4552,26,490,OK
3/4/2026 12:00,Zone A,31.8,4704,17.5,444,OK
3/4/2026 12:00,Zone B,35.3,4552,21.2,441,OK
3/4/2026 12:00,Zone C,29.3,4419,28.8,500,OK
3/5/2026 12:00,Zone A,33.3,4836,16.5,438,OK
3/5/2026 12:00,Zone B,34.6,4616,20.7,462,OK
3/5/2026 12:00,Zone C,28.3,4518,28.2,506,OK
3/6/2026 12:00,Zone A,34.1,4529,20.3,418,OK
3/6/2026 12:00,Zone B,NA,4451,23.4,442,OK
3/6/2026 12:00,Zone C,27.7,4423,24.8,488,OK
3/7/2026 12:00,Zone A,30.6,4520,17.8,430,OK
3/7/2026 12:00,Zone B,31.7,4479,22.9,450,OK
3/7/2026 12:00,Zone C,28.7,4348,26.4,499,OK
3/8/2026 12:00,Zone A,31.4,4513,16.9,430,OK
3/8/2026 12:00,Zone B,29.9,4409,19.8,466,OK
3/8/2026 12:00,Zone C,25.7,4247,26.1,489,OK
3/9/2026 12:00,Zone A,29.1,4497,19.2,419,OK
3/9/2026 12:00,Zone B,31.6,4370,22,454,OK
3/9/2026 12:00,Zone C,27,4203,27.9,502,OK
3/10/2026 12:00,Zone A,29.7,4537,15.9,442,OK
3/10/2026 12:00,Zone B,36,4475,23.6,455,OK
3/10/2026 12:00,Zone C,26.6,4276,25.4,493,OK
3/11/2026 12:00,Zone A,30.1,4371,16.9,409,OK
3/11/2026 12:00,Zone B,30.8,4280,20.7,471,OK
3/11/2026 12:00,Zone C,26.9,4216,25.9,463,OK
3/12/2026 12:00,Zone A,29.4,4384,19.8,434,OK
3/12/2026 12:00,Zone B,26.5,4195,22.4,486,OK
3/12/2026 12:00,Zone C,25,4100,23.4,499,OK
3/13/2026 12:00,Zone A,27.9,4331,15.2,429,OK
3/13/2026 12:00,Zone B,31.4,4234,22.6,477,OK
3/13/2026 12:00,Zone C,27.3,4054,25.9,499,OK
3/14/2026 12:00,Zone A,26.9,4246,17.5,396,OK
3/14/2026 12:00,Zone B,30,4082,24.5,461,OK
3/14/2026 12:00,Zone C,25.5,9900,25.5,493,OK
3/15/2026 12:00,Zone A,26.7,4306,19.9,448,OK
3/15/2026 12:00,Zone B,30.7,4137,20.7,447,OK
3/15/2026 12:00,Zone C,25.3,4076,25.8,492,OK
3/16/2026 12:00,Zone A,29,4269,18.9,401,OK
3/16/2026 12:00,Zone B,30.6,4109,21.1,463,OK
3/16/2026 12:00,Zone C,25.4,4040,25.2,489,OK
3/17/2026 12:00,Zone A,25.9,4136,15.8,435,OK
3/17/2026 12:00,Zone B,27.8,3961,22.3,452,OK
3/17/2026 12:00,Zone C,24.7,3894,28.1,478,OK
3/18/2026 12:00,Zone A,28.1,4217,18.7,422,OK
3/18/2026 12:00,Zone B,28.6,3963,22.7,473,OK
3/18/2026 12:00,Zone C,23.4,3902,25.1,523,OK
3/19/2026 12:00,Zone A,27.9,4150,18.3,413,OK
3/19/2026 12:00,Zone B,27.5,4074,23.5,463,OK
3/19/2026 12:00,Zone C,24.5,4001,24.5,474,OK
3/20/2026 12:00,Zone A,27.5,4078,18.7,422,OK
3/20/2026 12:00,Zone B,27.9,3971,21.4,460,OK
3/20/2026 12:00,Zone C,23.8,3920,27.5,483,OK
3/21/2026 12:00,Zone A,27.1,4021,18.2,394,OK
3/21/2026 12:00,Zone B,31.3,3875,0,468,CHECK
3/21/2026 12:00,Zone C,21.2,3770,25.4,468,OK
3/22/2026 12:00,Zone A,24.8,3863,15.9,434,OK
3/22/2026 12:00,Zone B,24.3,3836,21.1,481,OK
3/22/2026 12:00,Zone C,21.4,3686,26.4,487,OK
